codigo_curso;nome_curso
909;CORTE E COSTURA SOB MEDIDA (GRATUITO)
910;ELETRICISTA INSTALADOR
911;TORNEIRO MECÂNICO
912;ELETRICISTA AUTOMOTIVO
913;SOLDAGEM DE MANUTENÇÃO
914;MECÂNICO DE SUSPENSÃO, DIREÇÃO E FREIOS - VEÍCULOS LEVES
915;INSTALADOR DE CONDICIONADOR DE AR TIPO SPLIT
916;ENERGIA SOLAR
917;ÁREA ALIMENTOS
918;COMANDOS ELÉTRICOS
919;PROGRAMAÇÃO, PREPARAÇÃO E OPERAÇÃO DE TORNO CNC
920;INSPETOR DE QUALIDADE
921;REVIT ARCHITECTURE
922;MECÂNICO DE MOTOR CICLO DIESEL
923;MONTAGEM DE PAINÉIS ELÉTRICOS
924;SOLIDWORKS
925;EXCELÊNCIA NO ATENDIMENTO AO CLIENTE
926;MODELISTA DE ROUPAS
927;CONTROLADORES LÓGICOS PROGRAMÁVEIS
928;TÉCNICAS DE PINTURA DECORATIVA
929;NR11 - OPERAÇÃO DE EMPILHADEIRA 
930;PROGRAMAÇÃO E IMPRESSÃO 3D
931;MODELAGEM INDUSTRIAL DE MODA ÍNTIMA
932;MECÂNICO DE INJEÇÃO ELETRÔNICA DIESEL
933;MECÂNICO DE INJEÇÃO ELETRÔNICA
934;MECÂNICO DE MOTOR CICLO OTTO
935;COSTUREIRO DE MÁQUINA RETA E OVERLOQUE
936;PROGRAMAÇÃO, PREPARAÇÃO E OPERAÇÃO DE CENTRO DE USINAGEM CNC
937;NR 10 – FORMAÇÃO - SEGURANÇA EM INSTALAÇÕES E SERVIÇOS EM ELETRICIDADE
938;SOLDAGEM TIG EM AÇO INOXIDÁVEL E ALUMÍNIO
939;MECÂNICO DE MANUTENÇÃO DE COLHEDORAS DE CANA
940;MODELAGEM DE CAMISA SOB MEDIDA
941;MECÂNICO AUXILIAR AUTOMOTIVO
942;AUTOMAÇÃO PREDIAL 
943;ELETRICIDADE GERAL (SENAI CATANDUVA)
944;CONVERSORES E INVERSORES
945;AUXILIAR DE ELETRICISTA
946;MANUTENÇÃO AGROINDUSTRIAL 
947;MODELAGEM EM SISTEMA CAD AUDACES - AVANÇADO
948;MODELAGEM DE CONFECÇÃO INDUSTRIAL - LINGERIE
949;MICROCONTROLADOR ARDUINO
950;MODELAGEM INDUSTRIAL DE BLUSA
951;NR 10 – RECICLAGEM - SEGURANÇA EM INSTALAÇÕES E SERVIÇOS EM ELETRICIDADE
952;DESENVOLVEDOR WEB FULL STACK
953;AJUSTADOR MECÂNICO
954;MODELAGEM DE CALÇA SOB MEDIDA
955;CLIMATIZAÇÃO DE AUTOMÓVEIS
956;INVENTOR
957;BIM APLICADO AO PROJETO DE EDIFICAÇÕES
958;INSTALAÇÃO DE CERCA ELÉTRICA
959;DESENHO TÉCNICO MECÂNICO
960;MODELAGEM INDUSTRIAL DE SAIA
961;HIDRÁULICA E PNEUMÁTICA INDUSTRIAL
962;TUTORIA DE APRENDIZES
963;SEGURANÇA EM INSTALAÇÕES E SERVIÇOS EM ELETRICIDADE - NR-10
964;ELETRÔNICA ANALÓGICA
965;TREINAMENTO DE SEGURANÇA NA OPERAÇÃO DE CALDEIRAS - RECICLAGEM
966;MODELAGEM INDUSTRIAL DE CAMISA
967;CAIXA DE MUDANÇAS DE VEÍCULOS PESADOS
968;ELETRÔNICA DIGITAL
969;ELETROPNEUMÁTICA E HIDRAÚLICA
970;EXCEL BÁSICO
971;SEGURANÇA EM INSTALAÇÕES E SERVIÇOS EM ELETRICIDADE - NR10 - RECICLAGEM
972;USINAGEM CNC ALTA PERFORMANCE POWER MIL
973;MECÂNICO DE MÁQUINAS AGRÍCOLAS
974;CAIXA DE CAMBIO DE VEÍCULOS
975;AUXILIAR ADMINISTRATIVO
976;AUTOMAÇÃO RESIDENCIAL
977;SISTEMAS DE FREIOS PNEUMÁTICOS -VEÍCULOS PESADOS
978;GNV
979;SOLDAGEM MAG EM AÇO CARBONO
980;NR 35 - SEGURANÇA E SAÚDE NOS TRABALHOS EM ALTURA - INICIAL
981;LUBRIFICAÇÃO AUTOMOTIVA
982;FABRICAÇÃO DE BOMBONS FINOS
983;CONFIGURAÇÃO DE SERVIÇOS DE COMPUTAÇÃO EM NUVEM
984;DESENHISTA DE MECÂNICA
985;SELEÇÃO E IDENTIFICAÇÃO DE LUBRIFICANTES
986;AUTOCAD
987;MÁQUINAS ELÉTRICAS
988;NR 20 – INTERMEDIÁRIO – SEGURANÇA E SAÚDE NO TRABALHO COM INFLAMÁVEIS E COMBUSTÍVEIS
989;INFORMÁTICA BÁSICA
990;NR 35 - SEGURANÇA E SAÚDE NOS TRABALHOS EM ALTURA - PERIÓDICO
991;MECÂNICO INDUSTRIAL
992;EMPREENDER SENAI
993;AUTOMAÇÃO INDUSTRIAL
994;DIAGNÓSTICO E MANUTENÇÃO DOS SISTEMAS DE SUSPENSÃO, DIREÇÃO E FREIOS DE VEÍCULOS (SENAI CATANDUVA)
995;CALDEIRA
996;MECÂNICO DE MANUTENÇÃO   
997;PRIVACIDADE E PROTEÇÃO DE DADOS (LGPD)
998;COMPETÊNCIA TRANSVERSAL - TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO
999;CAM
1000;MANUTENÇÃO PRODUTIVA TOTAL
